U.S. Regional Level,Code,ID Code,U.S. Regional Title,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Total
Metropolitan Statistical Area,113820,13820,"Birmingham-Hoover, AL",64,94,98,109,91,82,88,69,56,74,92,86,79,92,109,112,1395
Metropolitan Statistical Area,112940,12940,"Baton Rouge, LA",167,147,103,115,85,73,59,68,61,45,51,64,70,77,92,82,1359
Metropolitan Statistical Area,143780,43780,"South Bend-Mishawaka, IN-MI",69,82,70,91,73,70,76,66,66,61,79,90,105,104,125,110,1337
Metropolitan Statistical Area,139540,39540,"Racine, WI",89,78,114,96,90,74,82,66,71,67,78,78,70,71,106,97,1327
Metropolitan Statistical Area,128700,28700,"Kingsport-Bristol-Bristol, TN-VA",126,122,122,101,84,53,43,76,64,67,65,96,68,76,81,75,1319
Metropolitan Statistical Area,138940,38940,"Port St. Lucie, FL",43,60,41,46,57,54,52,69,33,77,113,138,128,139,122,93,1265
Metropolitan Statistical Area,129620,29620,"Lansing-East Lansing, MI",84,79,104,88,56,71,63,73,68,72,80,79,68,88,71,93,1237
Metropolitan Statistical Area,121500,21500,"Erie, PA",103,97,86,73,60,64,71,61,54,57,63,77,72,102,86,91,1217
Metropolitan Statistical Area,144060,44060,"Spokane, WA",53,56,72,62,72,56,79,68,59,49,73,73,93,117,105,104,1191
Metropolitan Statistical Area,142020,42020,"San Luis Obispo-Paso Robles, CA",73,59,56,99,85,69,77,43,52,56,68,64,77,89,106,117,1190
Metropolitan Statistical Area,125860,25860,"Hickory-Lenoir-Morganton, NC",73,78,75,74,62,71,65,69,63,45,73,49,79,86,109,106,1177
Metropolitan Statistical Area,128740,28740,"Kingston, NY",78,70,76,62,71,58,70,79,59,69,82,90,66,84,82,77,1173
Metropolitan Statistical Area,139740,39740,"Reading, PA",130,116,104,96,87,62,60,46,60,37,60,56,63,53,66,61,1157
Metropolitan Statistical Area,116820,16820,"Charlottesville, VA",72,70,50,65,50,38,52,55,56,47,82,101,95,94,103,92,1122
Metropolitan Statistical Area,117900,17900,"Columbia, SC",69,76,58,63,67,48,62,41,40,53,61,86,96,110,91,94,1115
Metropolitan Statistical Area,135660,35660,"Niles-Benton Harbor, MI",48,36,29,40,34,33,55,48,40,52,74,104,108,132,133,137,1103
Metropolitan Statistical Area,121660,21660,"Eugene-Springfield, OR",73,75,66,71,43,56,62,68,52,57,84,56,80,84,87,79,1093
Metropolitan Statistical Area,121780,21780,"Evansville, IN-KY",66,38,65,44,57,52,47,57,56,52,81,69,89,97,92,118,1080
Metropolitan Statistical Area,119340,19340,"Davenport-Moline-Rock Island, IA-IL",44,70,74,84,80,45,57,59,56,49,71,92,69,80,73,76,1079
Metropolitan Statistical Area,128420,28420,"Kennewick-Pasco-Richland, WA",59,56,65,93,74,64,79,40,48,51,74,69,72,69,82,84,1079
Metropolitan Statistical Area,116700,16700,"Charleston-North Charleston-Summerville, SC",82,65,93,63,71,52,52,41,36,46,55,62,82,96,95,69,1060
Metropolitan Statistical Area,111180,11180,"Ames, IA",65,75,42,58,62,46,64,61,51,69,71,58,64,77,78,84,1025
